feature,importance,source
EXT_SOURCE_2,0.0432699275362319,application
EXT_SOURCE_3,0.042144001610306035,application
ORGANIZATION_TYPE,0.0227085748792271,application
EXT_SOURCE_1,0.018323354468599007,application
AMT_CREDIT,0.013960089573268997,application
AMT_GOODS_PRICE,0.009945138888889002,application
AMT_ANNUITY,0.007021507648953336,application
DAYS_BIRTH,0.006765866545893691,application
OWN_CAR_AGE,0.006371839774557205,application
BUREAU_AMT_DEBT_mean,0.006305092592592709,historique
DAYS_EMPLOYED,0.005394932568438075,application
CODE_GENDER,0.005275865539452547,application
PREV_CC_UTILIZATION_mean,0.005251207729468669,historique
PREV_INS_PAYMENT_DIFF_mean,0.0042962711352656875,historique
PREV_REFUSED_COUNT,0.004262500000000095,historique
OCCUPATION_TYPE,0.0037110305958133103,application
NAME_EDUCATION_TYPE,0.003581375805152979,application
NAME_FAMILY_STATUS,0.0034477757648953,application
DAYS_LAST_PHONE_CHANGE,0.0034122081320451616,application
BUREAU_AMT_CREDIT_SUM_mean,0.0029494313607086133,historique
PREV_INS_DAYS_LATE_max,0.002926529790660289,historique
DAYS_ID_PUBLISH,0.002758091787439687,application
BUREAU_AMT_MAX_OVERDUE_max,0.0026837510064412484,historique
BUREAU_DAYS_CREDIT_mean,0.0023710446859904013,historique
PREV_APP_COUNT,0.002328733896940438,historique
BUREAU_ACTIVE_COUNT,0.002265328099839037,historique
REGION_RATING_CLIENT_W_CITY,0.0020449074074074445,application
FLAG_DOCUMENT_3,0.0018677838164251985,application
NAME_CONTRACT_TYPE,0.0017263888888889856,application
PREV_AMT_CREDIT_mean,0.0016707729468600219,historique
WEEKDAY_APPR_PROCESS_START,0.0015167522141707652,application
BUREAU_AMT_CREDIT_SUM_sum,0.001494056964573313,historique
PREV_INS_DAYS_LATE_mean,0.001418357487922813,historique
PREV_POS_DPD_DEF_mean,0.0012895833333334366,historique
FLAG_WORK_PHONE,0.001259052938808421,application
PREV_AMT_APPLICATION_mean,0.0011232387278583555,historique
REGION_POPULATION_RELATIVE,0.0010190167069243545,application
AMT_INCOME_TOTAL,0.0009590277777778619,application
NAME_INCOME_TYPE,0.0008559430354267613,application
DAYS_REGISTRATION,0.0007950130837359737,application
AMT_REQ_CREDIT_BUREAU_QRT,0.0007940519323673308,application
TOTALAREA_MODE,0.000787887479871241,application
FLAG_DOCUMENT_18,0.0007300473027376242,application
DEF_30_CNT_SOCIAL_CIRCLE,0.0006695199275362773,application
BUREAU_DAYS_CREDIT_min,0.0006561795491144181,historique
BUREAU_BB_STATUS_DPD_mean,0.000582533212560484,historique
FLAG_DOCUMENT_16,0.0004899355877617436,application
FLAG_PHONE,0.0004769524959743106,application
NAME_HOUSING_TYPE,0.000449381038647408,application
REG_CITY_NOT_LIVE_CITY,0.0004484047906602913,application
WALLSMATERIAL_MODE,0.000438526570048318,application
YEARS_BEGINEXPLUATATION_MODE,0.0004158061594203473,application
BUREAU_CREDIT_COUNT,0.00041044182769737575,historique
PREV_CC_DPD_DEF_max,0.0003487016908213514,historique
BUREAU_BB_STATUS_0_mean,0.00028595008051538845,historique
COMMONAREA_AVG,0.0002855626006441625,application
YEARS_BEGINEXPLUATATION_AVG,0.0002619816827698444,application
FLAG_OWN_REALTY,0.00025729166666665915,application
HOUR_APPR_PROCESS_START,0.00024442934782623976,application
APARTMENTS_MODE,0.0002262127616747082,application
FLOORSMAX_AVG,0.00021146336553949188,application
BASEMENTAREA_MODE,0.00021084943639293474,application
BUREAU_AMT_OVERDUE_mean,0.0001891203703704436,historique
FLOORSMIN_AVG,0.0001856531803543504,application
DEF_60_CNT_SOCIAL_CIRCLE,0.0001605223429952396,application
BUREAU_BB_STATUS_C_mean,0.00014027274557174932,historique
FLAG_DOCUMENT_13,0.0001385718599035135,application
BASEMENTAREA_MEDI,0.00013817431562002103,application
LIVINGAREA_AVG,0.00013792270531409745,application
YEARS_BEGINEXPLUATATION_MEDI,0.00011636473429961954,application
LIVINGAPARTMENTS_MODE,0.00011630434782613126,application
YEARS_BUILD_MODE,0.00011042673107900895,application
APARTMENTS_AVG,0.0001078754025765442,application
ENTRANCES_MEDI,0.00010739734299510435,application
LIVINGAREA_MODE,0.00010224939613530844,application
NONLIVINGAREA_MODE,9.94162640903055e-05,application
FLOORSMAX_MODE,9.784621578116474e-05,application
OBS_60_CNT_SOCIAL_CIRCLE,9.664855072470206e-05,application
BASEMENTAREA_AVG,8.442532206124713e-05,application
PREV_POS_DPD_DEF_max,8.351952495984823e-05,historique
LIVINGAPARTMENTS_MEDI,8.271437198063374e-05,application
FLAG_DOCUMENT_11,8.191425120773754e-05,application
FLAG_OWN_CAR,8.051026570055075e-05,application
APARTMENTS_MEDI,6.33504428342313e-05,application
REGION_RATING_CLIENT,6.130233494365071e-05,application
AMT_REQ_CREDIT_BUREAU_YEAR,5.943035426736465e-05,application
NONLIVINGAPARTMENTS_MODE,5.573671497597724e-05,application
ELEVATORS_MEDI,5.405092592606723e-05,application
LIVINGAREA_MEDI,5.148953301133593e-05,application
OBS_30_CNT_SOCIAL_CIRCLE,5.061896135264791e-05,application
YEARS_BUILD_AVG,4.572262479877557e-05,application
FLOORSMIN_MODE,4.31763285024811e-05,application
FLOORSMAX_MEDI,3.8028381642611166e-05,application
AMT_REQ_CREDIT_BUREAU_WEEK,3.5778985507365725e-05,application
NONLIVINGAREA_AVG,3.3479267310898564e-05,application
LANDAREA_AVG,3.2533212560433476e-05,application
COMMONAREA_MODE,2.831622383262881e-05,application
FLAG_DOCUMENT_14,2.6615338164392988e-05,application
ENTRANCES_AVG,2.6313405797173672e-05,application
